'bitcoin' 'btc'
'ethereum' 'eth'
'ripple' 'xrp'
'bitcoincash' 'bch'
'eos' 'eos'
'litecoin' 'ltc'
'cardano' 'ada'
'stellar' 'xlm'
'iota' 'miota'
'tron' 'trx'
'neo' 'neo'
'monero' 'xmr'
'dash' 'dash'
'tether' 'usdt'
'nem' 'xem'
'vechain' 'ven'
'ethereumclassic' 'etc'
'binancecoin' 'bnb'
'bytecoin' 'bcn'
'qtum' 'qtum'
'omisego' 'omg'
'icon' 'icx'
'zcash' 'zec'
'lisk' 'lsk'
'zilliqa' 'zil'
'ontology' 'ont'
'bitcoingold' 'btg'
'aeternity' 'ae'
'0x' 'zrx'
'decred' 'dcr'
'bytom' 'btm'
'steem' 'steem'
'verge' 'xvg'
'nano' 'nano'
'bitshares' 'bts'
'siacoin' 'sc'
'rchain' 'rhoc'
'wanchain' 'wan'
'populous' 'ppt'
'golem' 'gnt'
'maker' 'mkr'
'bitcoinprivate' 'btcp'
'stratis' 'strat'
'waves' 'waves'
'bitcoindiamond' 'bcd'
'augur' 'rep'
'dogecoin' 'doge'
'mixin' 'xin'
'waykichain' 'wicc'
'iost' 'iost'
'waltonchain' 'wtc'
'digibyte' 'dgb'
'status' 'snt'
'aion' 'aion'
'hshare' 'hsr'
'basicattentiontoken' 'bat'
'nebulas' 'nas'
'loopring' 'lrc'
'digixdao' 'dgd'
'komodo' 'kmd'
'cybermiles' 'cmt'
'ardor' 'ardr'
'ark' 'ark'
'aelf' 'elf'
'dentacoin' 'dcn'
'polymath' 'poly'
'pivx' 'pivx'
'loomnetwork' 'loom'
'gxchain' 'gxs'
'cryptonex' 'cnx'
'bancor' 'bnt'
'monacoin' 'mona'
'maidsafecoin' 'maid'
'elastos' 'ela'
'gas' 'gas'
'cortex' 'ctxc'
'huobitoken' 'ht'
'syscoin' 'sys'
'reddcoin' 'rdd'
'fusion' 'fsn'
'skycoin' 'sky'
'mithril' 'mith'
'qash' 'qash'
'ethos' 'ethos'
'kybernetwork' 'knc'
'veritaseum' 'veri'
'funfair' 'fun'
'centrality' 'cennz'
'electroneum' 'etn'
'mybittoken' 'myb'
'substratum' 'sub'
'dragonchain' 'drgn'
'nuls' 'nuls'
'kin' 'kin'
'iexecrlc' 'rlc'
'enigma' 'eng'
'zcoin' 'xzc'
'thetatoken' 'theta'
'holo' 'hot'
'allsports' 'soc'
